# Orginal file //FishNpctdev20141006_123623.csv// received from Dr. Howe on 6 Oct 2014 via email //files//.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dvmrrgnm,Alewife,AmericanEel,BandedKillifish,Bl.Br.Bullhead,BlackCrappie,BlackchinShiner,BlacknoseDace,BlacknoseShiner,BluegillSunfish,BluntnoseMinnow,Bowfin,BrassyMinnow,BrookStickleback,BrookTrout,Bullhead.catfish,Burbot,Carpsucker,CentralMudminnow,ChannelCatfish,ChinookSalmon,Chub,CohoSalmon,CommonShiner,CreekChub,Darter,EasternLongnoseSucker,EasternSlimySculpin,EmeraldShiner,EurasianRuffe,EuropeanCarp,FatheadMinnow,FinescaleDace,FreshwaterDrum,GizzardShad,GoldenShiner,Goldfish,GreatLakesMuskellunge,GreenSunfish,HorneyheadChub,JohnnyDarter,LakeChub,LargemouthBass,LeastDarter,Logperch,LongnoseDace,Minnow,MottledSculpin,NinespineStickleback,NorthernBrookSilverside,NorthernHogsucker,NorthernLongnoseGar,NorthernMimicShiner,NorthernPike,NorthernRedbellyDace,NorthernRedhorse,NorthernRockBass,PumpkinseedSunfish,QuillbackCarpsucker,RainbowSmelt,RainbowTrout,Redhorse,RoundGoby,SandShiner,Sculpin,SeaLamprey,Shiner,ShortnoseGar,SilverRedhorse,SmallmouthBass,SpotfinShiner,SpottailShiner,SpottedGar,SpottedSucker,Stonecat,Sunfish,TadpoleMadtom,ThreespineStickleback,Troutperch,Walleye,Warmouth,WesternRedearSunfish,Whitebass,WhiteCrappie,WhitePerch,WhiteSucker,YellowBass,YellowBullhead,YellowPerch
162F,0.05642563,0,0,0.00802139,0.024064171,0,0,0,0,0.002673797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002673797,0,0.016042781,0,0,0,0,0,0,0,0,0,0.010695187,0,0.122994652,0,0,0,0,0,0,0,0,0.002673797,0,0,0,0,0.06684492,0.406417112,0,0,0,0.002673797,0,0,0,0,0,0,0,0.010695187,0.002673797,0,0.002673797,0,0,0.184491979,0,0,0,0.032085561,0,0,0,0,0,0.00802139,0,0,0.093582888
498F,0.141020811,0.055335968,0,0.023715415,0.003952569,0,0,0,0,0.027667984,0,0.007905138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015810277,0,0.158102767,0,0,0,0.003952569,0,0,0,0,0,0,0,0.177865613,0,0,0,0,0,0,0,0,0.003952569,0,0,0,0,0.083003953,0.146245059,0,0,0,0,0.007905138,0,0,0,0,0,0,0,0,0.221343874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063241107
546F,0.081684535,0.019101124,0,0.004494382,0.005617978,0,0,0,0,0.002247191,0.043820225,0,0,0,0,0.001123596,0,0,0,0,0,0,0,0.003370787,0,0,0,0.001123596,0,0,0.003370787,0,0,0,0,0,0,0,0,0,0.003370787,0,0,0,0,0,0,0,0,0,0,0,0.039325843,0,0,0,0.024719101,0,0,0,0,0,0,0,0,0,0.002247191,0,0,0.096629213,0.041573034,0.614606742,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013483146,0,0.002247191,0.07752809
568F,0.221949298,0,0,0.106640405,0.015475521,0,0,0,0.000562746,0,0.001969612,0,0,0,0,0,0,0,0,0,0,0,0,0,0.748452448,0.000281373,0,0,0,0,0,0,0,0,0,0,0.003376477,0,0,0,0.066966798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000281373,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055993247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
588F,0.139174131,0,0,0.00124792,0.001663894,0,0,0,0.00124792,0.000415973,0.456738769,0,0.000415973,0.000415973,0,0,0,0,0.000415973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00124792,0,0,0,0,0,0,0,0.004159734,0,0,0,0,0,0,0,0.004991681,0,0,0,0,0,0.000831947,0.46547421,0,0,0,0,0,0.020798669,0.012479201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027454243,0,0,0
608F,0.06500391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.336065574,0,0,0,0.016393443,0.016393443,0,0,0,0,0,0,0,0,0,0,0,0.016393443,0.008196721,0.024590164,0,0,0.008196721,0,0,0,0,0,0,0,0,0,0,0.024590164,0,0,0,0,0,0,0.06557377,0,0,0,0,0,0.016393443,0,0.032786885,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43442623,0,0,0
609F,0.110836937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043478261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043478261,0.108695652,0,0.434782609,0,0,0,0,0,0,0,0,0.065217391,0,0,0,0,0,0,0.043478261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02173913,0,0,0,0,0,0,0.239130435,0,0,0
613F,0.103624339,0,0,0.00178731,0,0,0,0,0.09562109,0,0.043789097,0.000893655,0,0.004468275,0,0,0,0,0.00178731,0,0,0,0,0.046470063,0,0,0,0.000893655,0,0,0.000893655,0.000893655,0.000893655,0,0,0,0,0,0,0,0.00893655,0,0,0,0,0.000893655,0,0,0.037533512,0,0,0,0,0,0,0,0.152815013,0.000893655,0,0,0,0,0,0,0,0,0,0,0,0.344950849,0,0.006255585,0,0,0,0,0,0,0,0,0.000893655,0,0,0,0,0.243967828,0,0,0.004468275
632F,0.209520678,0,0,0,0.085365854,0,0,0,0.048780488,0.012195122,0.024390244,0,0,0,0,0,0,0,0,0,0,0,0,0.024390244,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073170732,0,0,0.085365854,0,0.195121951,0,0,0,0,0,0,0,0,0,0,0,0,0,0.341463415,0.085365854,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024390244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
644F,0.066073584,0,0,0,0.031976744,0,0,0,0.002906977,0,0.174418605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002906977,0,0,0,0,0,0,0,0,0,0.011627907,0,0,0.00872093,0,0,0,0,0.005813953,0,0,0,0,0,0,0,0,0,0,0.229651163,0,0,0,0,0,0,0.24127907,0,0,0,0,0,0.191860465,0,0.011627907,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087209302,0,0,0
719F,0.109535936,0,0,0.002097064,0.003894548,0,0,0,0,0,0,0.050029958,0,0,0,0,0,0,0,0,0,0,0,0.023966447,0.009586579,0,0.002097064,0.005392451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.536249251,0,0,0,0,0,0,0,0,0,0,0,0,0.016177352,0,0.011384062,0,0,0,0,0,0,0,0,0,0,0,0,0,0.302875974,0,0,0.036249251
828F,0.04934628,0,0,0,0.379120879,0,0.036630037,0,0,0,0.256410256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001831502,0,0,0,0,0,0,0,0.003663004,0,0,0,0,0.009157509,0,0,0,0,0,0,0,0,0,0,0,0,0.003663004,0,0,0.201465201,0.005494505,0,0,0,0,0,0,0,0,0,0,0,0.043956044,0,0.003663004,0,0,0,0,0,0,0,0.001831502,0,0,0,0,0,0.012820513,0,0,0.04029304
845F,0.068949174,0,0,0,0,0,0,0,0,0,0.016393443,0,0.016393443,0,0,0,0.06557377,0,0.016393443,0,0,0,0,0,0,0,0,0.016393443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032786885,0,0.081967213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016393443,0,0,0,0,0,0,0.704918033,0,0,0.032786885
945F,0.082221399,0,0,0,0.185410334,0,0.003039514,0,0.027355623,0.003039514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003039514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006079027,0,0,0.130699088,0.054711246,0,0,0,0,0,0,0,0,0,0,0,0.003039514,0,0,0,0,0,0,0,0,0,0,0.082066869,0,0,0,0,0.003039514,0,0,0.498480243
951F,0.061767895,0,0,0,0.06122449,0,0,0,0.375,0.005102041,0,0,0,0.005102041,0,0,0,0,0.015306122,0,0,0,0,0.007653061,0.045918367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010204082,0,0,0.007653061,0,0,0,0,0,0,0,0,0,0.00255102,0,0,0.132653061,0.091836735,0,0,0,0,0,0,0,0,0,0,0,0.073979592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091836735,0,0,0.073979592
970F,0.106613265,0,0,0,0.875438596,0,0.010526316,0,0.003508772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005263158,0,0,0.014035088,0.033333333,0,0,0,0,0,0,0,0,0,0,0,0.003508772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054385965
973F,0.088907733,0,0,0,0.004177109,0,0.000835422,0,0.015037594,0,0,0,0,0.000835422,0,0,0,0,0,0,0,0,0,0,0.002506266,0,0,0.000835422,0,0,0,0,0,0,0,0,0,0,0,0,0.010025063,0,0,0,0,0.000835422,0,0,0,0,0,0,0,0,0,0,0.043441938,0.000835422,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003341688,0,0,0,0,0,0.076858814,0,0,0,0,0,0,0,0.838763576,0,0,0.001670844
1033F,0.065500935,0,0,0,0.141560799,0.029038113,0,0,0,0.001814882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001814882,0,0,0,0,0,0,0,0,0,0,0,0,0.036297641,0,0,0,0,0,0,0,0,0,0,0.003629764,0,0,0.001814882,0.762250454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001814882,0,0,0.019963702
1034F,0.066003406,0,0,0,0.123028391,0,0,0.006309148,0,0,0.028391167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006309148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.410094637,0.205047319,0,0,0,0,0,0,0,0,0,0,0,0.056782334,0,0,0,0,0,0,0,0,0,0.003154574,0,0,0,0,0,0.003154574,0,0.009463722,0.148264984
1035F,0.065528703,0,0,0,0.114503817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015267176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007633588,0,0,0.244274809,0.267175573,0,0,0,0,0,0,0,0,0,0,0,0.122137405,0,0,0,0,0,0,0,0,0,0.015267176,0,0,0,0,0,0,0,0.091603053,0.122137405
1039F,0.094529109,0,0,0,0,0.009615385,0,0,0.182692308,0.043269231,0,0,0,0.038461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009615385,0,0,0,0,0,0,0,0,0,0.019230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048076923,0.576923077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004807692,0,0,0,0,0,0,0,0,0,0,0.067307692
1068F,0.095145905,0,0,0,0.977077364,0,0,0,0,0.00286533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001432665,0.010028653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008595989
1075F,0.081384434,0,0,0,0.084337349,0,0,0,0.172690763,0.004016064,0,0,0,0,0,0,0,0,0.002008032,0,0,0,0,0.004016064,0.004016064,0.002008032,0,0,0.03815261,0.026104418,0,0.010040161,0,0,0,0.008032129,0,0,0,0.014056225,0.018072289,0,0,0,0,0,0.010040161,0,0,0,0,0,0.409638554,0.008032129,0,0.002008032,0.014056225,0.002008032,0,0,0,0,0,0.002008032,0,0,0,0,0,0,0,0.024096386,0,0,0,0,0.082329317,0,0.024096386,0.004016064,0,0,0,0,0,0.02811245,0,0,0.002008032
1096F,0.166660547,0,0,0,0.075688073,0.660550459,0,0,0,0.05733945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025229358,0.018348624,0,0,0.004587156,0,0.013761468,0,0,0,0,0,0,0.004587156,0,0,0,0,0,0,0,0,0,0,0.002293578,0,0,0.002293578,0.073394495,0,0,0,0,0,0,0,0,0,0,0.006880734,0.002293578,0,0,0,0,0.006880734,0,0,0,0,0,0,0,0,0,0.002293578,0.006880734,0,0,0.036697248
1276F,0.105339937,0,0,0,0.265306122,0,0,0,0,0,0,0.020408163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.551020408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102040816,0.06122449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1289F,0.110737805,0,0,0,0.306122449,0,0,0,0,0.387755102,0,0.020408163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010204082,0,0,0,0,0,0,0.030612245,0,0,0,0,0,0,0,0,0.010204082,0,0.010204082,0,0,0.030612245,0.153061224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010204082,0.030612245
1379F,0.096965721,0.174887892,0,0,0.095665172,0,0,0,0,0.00896861,0.31838565,0,0,0,0,0,0,0,0,0,0,0,0,0.001494768,0,0,0,0,0,0,0.053811659,0.02690583,0,0,0,0.001494768,0,0,0,0,0.004484305,0,0,0,0,0,0,0,0,0,0,0,0.013452915,0,0,0.001494768,0.001494768,0.153961136,0,0,0,0,0,0,0,0,0,0,0,0.013452915,0.031390135,0.020926756,0,0,0,0.032884903,0.007473842,0,0,0,0,0.014947683,0,0,0.004484305,0.01793722,0,0,0
1458F,0.250167538,0.075388027,0,0,0.022172949,0,0,0,0,0.031042129,0.00443459,0,0,0,0,0,0,0,0,0.006651885,0,0,0,0,0,0,0,0,0,0,0.013303769,0.33037694,0,0.002217295,0.002217295,0,0,0,0.035476718,0,0,0,0,0,0,0,0,0,0,0,0,0.002217295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026607539,0,0,0.00443459,0,0,0,0,0,0,0,0,0,0,0,0.011086475,0,0.305986696,0,0.002217295,0,0.124168514
1459F,0.184589597,0,0,0.188191882,0.004920049,0,0,0,0,0.068880689,0.033210332,0.002460025,0,0,0,0,0,0,0,0,0,0,0,0.002460025,0,0,0,0,0.003690037,0,0.017220172,0.014760148,0,0.001230012,0,0,0,0,0.386223862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001230012,0,0,0,0,0,0,0,0,0.018450185,0,0,0.111931119,0.062730627,0,0,0,0,0,0,0,0,0,0,0,0.022140221,0.012300123,0,0,0,0.04797048
1468F,0.085312259,0,0,5.62E-05,0,0,0,0,0.000112404,0,5.62E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000112404,0,0,0,0,0,0,0.002360479,0,0,0,0,0,0,0,0,0,0.000112404,0,0.000112404,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000112404,0.000112404,0,0,0,0,0,0,0,0,0,0,0,0.000168606,0,0.000562019,0,0,0,0,0,0,0,0.000112404,0,0,0,0,0,0.034283145,0,0,0.961726522
1484F,0.192840313,0,0,0,0.002849003,0,0,0,0,0.031339031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002849003,0,0,0,0,0,0,0,0,0,0.002849003,0,0,0,0,0,0,0,0,0,0,0,0,0.008547009,0.002849003,0,0.299145299,0.045584046,0,0,0,0,0,0,0,0,0,0,0,0.361823362,0,0.227920228,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014245014,0,0,0
1497F,0.062082155,0,0,0,0.021352313,0,0,0,0,0,0,0.042704626,0,0,0,0,0,0,0,0,0,0,0,0.007117438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035587189,0,0.003558719,0,0,0,0,0,0,0,0,0,0,0.014234875,0,0,0.117437722,0.007117438,0,0,0,0,0,0,0,0,0,0,0,0.096085409,0,0.615658363,0,0,0,0,0,0,0,0.010676157,0,0,0,0,0,0.028469751,0,0,0
1514F,0.074881892,0.014028935,0,0.004603244,0.270276195,0,0,0,0,0,0.007672074,0.02498904,0,0,0,0,0.001753617,0,0,0,0,0,0,0.004822446,0,0,0,0,0,0,0.15519509,0,0,0,0,0,0,0,0.033757124,0,0.009644893,0,0,0,0,0,0,0,0,0,0,0.012713722,0,0.003288032,0,0,0.032003507,0.027619465,0,0,0,0,0,0.001534415,0,0,0,0.001753617,0,0.117492328,0,0.195089873,0,0,0,0,0,0,0,0.005260851,0,0,0,0,0,0.02915388,0,0,0.047347655
1601F,0.1112,0,0,0,0,0,0,0,0,0,0.043478261,0,0,0.010869565,0,0,0,0,0,0,0,0.010869565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.25,0,0,0,0,0,0.130434783,0,0.054347826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
