# Orginal file //FishNpctdev20141006_123623.csv// received from Dr. Howe on 6 Oct 2014 via email //files//.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1698F,0.117378136,0,0,0.002166554,0.023290454,0,0,0,0,0.146513202,0.006499661,0.000947867,0,0.07366283,0,0,0,0,0.002166554,0,0,0,0,0.016384563,0,0,0,0,0.002166554,0,0.0140826,0.001083277,0,0,0,0.000947867,0,0,0.511442112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001895735,0,0,0.045226811,0.008530806,0,0,0,0,0,0,0,0,0,0.002843602,0,0.000947867,0,0.004333108,0,0,0,0,0.012863913,0,0,0,0,0,0,0,0.000947867,0.010020311,0,0,0.111035884
1703F,0.3871,0.001403312,0,0.000841987,0.002245299,0,0,0,0.001122649,0.014875105,0.000280662,0.000280662,0,0,0,0,0,0.008981196,0,0.000280662,0,0,0,0.001122649,0,0,0,0,0,0,0.06174572,0.005332585,0,0,0,0,0,0,0.003087286,0,0.000561325,0,0,0,0.001403312,0,0,0,0,0,0,0,0,0,0,0,0.001122649,0.001964637,0,0,0,0,0,0,0,0,0,0,0,0.003929273,0,0.002245299,0,0,0,0,0,0,0,0.003929273,0,0,0,0,0.001403312,0.407241089,0,0,0.474600056
7057F,0.07561088,0,0,0,0.028985507,0,0,0,0.086956522,0,0.043478261,0,0,0,0,0,0,0,0,0,0,0,0,0.014492754,0,0,0,0,0,0,0,0,0,0,0,0.028985507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.463768116,0.014492754,0,0,0,0,0,0.028985507,0,0,0,0,0,0.028985507,0,0.188405797,0,0,0,0,0.014492754,0,0,0,0,0,0,0,0,0.014492754,0,0,0.043478261
11003F,0.294304103,0,0,0,0.058288847,0.009089597,0,0,0,0.141826576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017313519,0.001009955,0,0.003462704,0,0,0,0.014572212,0,0,0,0,0.003318424,0,0,0,0,0,0,0,0,0,0,0,0,0.00432838,0,0.001009955,0.012696581,0.209782138,0,0,0,0.001009955,0,0,0,0,0,0,0,0,0,0.034482759,0,0,0,0,0.073726735,0,0.001009955,0,0,0,0,0,0,0.00216419,0,0,0.410907517
11158F,0.472315487,0,0,0,0,0,0,0,0,0.564189189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013513514,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108108108,0.067567568,0,0,0,0,0,0.158783784,0,0,0,0,0,0.064189189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023648649
11170F,0.102214536,0,0,0,0.002980626,0,0,0,0,0.421758569,0,0.007451565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001490313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02533532,0.062593145,0,0,0,0,0,0,0,0,0,0,0,0.001490313,0,0,0,0,0,0,0,0,0,0,0.470938897,0,0,0,0,0,0,0.002980626,0.002980626
11362F,0.033237151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063492063,0,0,0,0,0,0,0,0,0,0.76984127,0.047619048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023809524,0,0,0,0,0,0,0,0,0,0,0,0.095238095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11363F,0.031534121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11364F,0.092450087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0.444444444,0,0,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11366F,0.070215884,0,0,0,0,0,0.62962963,0,0,0,0,0,0,0,0,0,0.061728395,0,0,0,0,0,0,0,0,0,0.197530864,0.037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049382716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012345679,0,0,0.012345679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11367F,0.22985989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07079646,0,0,0,0,0,0.008849558,0,0,0,0,0,0,0.017699115,0,0,0,0,0,0,0,0,0,0,0,0.681415929,0,0,0,0.044247788,0,0,0,0,0.017699115,0,0,0,0,0,0.008849558,0,0,0.008849558,0.017699115,0,0,0,0.07079646,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044247788,0,0,0,0,0,0,0.008849558,0,0,0
11368F,0.607334432,0,0,0,0,0,0,0,0,0.068627451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071078431,0.039215686,0.017156863,0.262254902,0,0,0,0,0,0,0,0,0.017156863,0,0,0,0,0,0.019607843,0,0,0,0,0,0,0,0,0,0,0,0.379901961,0.036764706,0,0,0,0,0,0,0,0,0,0,0,0.017156863,0,0.017156863,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053921569,0,0,0
11370F,0.099300987,0,0,0,0.010869565,0,0,0,0,0.005434783,0,0,0,0.005434783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.429347826,0.081521739,0,0,0,0,0,0,0,0,0,0,0.059782609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048913043,0.016304348,0.005434783,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086956522,0,0,0,0,0.02173913,0,0.119565217,0,0,0,0,0,0.005434783,0,0,0,0.10326087
11371F,0.047847747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004481434,0,0,0,0,0,0,0.010243278,0,0,0,0.004481434,0.702304738,0.004481434,0,0,0,0,0,0,0,0,0,0,0,0.013444302,0,0,0,0.004481434,0,0,0,0,0,0,0.008962868,0,0,0.04609475,0,0,0,0,0,0,0,0.004481434,0,0,0,0,0,0,0,0.018565941,0,0,0,0,0,0,0.042253521,0,0,0,0,0,0.009603073,0.126120359,0,0,0
11374F,0.095145905,0,0,0,0.081632653,0,0,0,0,0,0,0,0,0,0,0,0.571428571,0,0,0,0,0,0,0,0,0,0,0.06122449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12244898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081632653,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081632653,0,0,0
11376F,0.0613642,0,0,0,0.010291595,0,0,0,0.008576329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04974271,0.001715266,0.001715266,0,0,0,0,0,0,0,0,0,0,0.001715266,0,0.516295026,0,0,0,0.205831904,0,0,0,0,0,0,0.001715266,0,0.001715266,0,0,0,0,0,0.008576329,0,0,0,0,0,0,0,0,0,0,0.180102916,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012006861,0,0,0
11378F,0.070271631,0.006791171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009762309,0,0,0,0,0,0,0,0,0,0.002971138,0.054329372,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028438031,0,0,0.006791171,0.0475382,0,0.003395586,0.006791171,0,0.006366723,0,0,0,0,0,0.017826825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.725806452,0,0,0,0,0,0,0,0,0,0,0.003395586,0,0,0.076400679,0,0,0.003395586
11379F,0.063032063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010291595,0.010291595,0,0,0,0,0,0,0,0,0,0,0,0,0,0.317324185,0,0,0,0.087478559,0,0,0,0,0,0,0,0,0,0,0.101200686,0,0,0,0.008576329,0,0,0,0,0.010291595,0,0,0,0.394511149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051457976,0,0,0.008576329
11380F,0.117150494,0,0,0,0,0,0,0,0,0,0,0,0,0.009478673,0,0,0,0,0,0,0.004739336,0,0,0.004739336,0,0,0,0.037914692,0,0,0.033175355,0,0,0,0,0,0,0,0,0,0.071090047,0,0,0,0,0.009478673,0,0,0.218009479,0,0,0,0,0,0,0,0.08056872,0,0,0.009478673,0,0,0,0,0,0.004739336,0,0,0,0,0,0.203791469,0,0,0,0,0,0.009478673,0.028436019,0,0,0,0,0,0,0.27014218,0,0,0.004739336
11381F,0.091816381,0,0,0,0,0,0,0.056074766,0,0,0,0,0,0,0,0,0.093457944,0,0,0,0,0,0,0,0,0,0,0.009345794,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018691589,0,0,0,0.542056075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009345794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046728972,0,0,0,0,0,0,0.130841121,0,0,0.093457944
11382F,0.09770843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022222222,0,0,0,0,0,0,0,0,0,0.013333333,0.022222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186666667,0,0,0.004444444,0.391111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.324444444,0,0,0,0,0,0,0.031111111,0,0,0
11383F,0.118296335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001345895,0,0,0,0,0,0.001345895,0,0,0,0,0.048183042,0,0,0,0,0,0,0,0,0,0,0,0,0.020188425,0.049259758,0,0,0.006729475,0.072139973,0,0,0.041722746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001345895,0,0,0,0,0,0.627187079,0,0,0,0,0,0,0.053028264,0,0,0,0,0,0,0.006191117,0,0,0.071332436
11384F,0.155239367,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02189781,0,0,0,0,0,0,0,0,0,0,0,0.058394161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02189781,0.678832117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065693431,0,0,0,0,0,0,0.153284672,0,0,0
11385F,0.232615761,0,0,0,0.195121951,0,0.004878049,0,0.082926829,0,0.019512195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034146341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03902439,0,0,0,0.185365854,0.043902439,0,0,0,0,0,0,0,0,0,0,0,0.385365854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009756098
11387F,0.082100406,0.034482759,0,0,0,0,0,0,0,0,0,0,0,0.00862069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00862069,0,0,0,0,0,0,0,0,0,0,0,0,0,0.551724138,0,0.060344828,0.012931034,0,0,0,0,0,0,0,0.012931034,0,0,0,0,0,0,0,0,0,0,0,0,0.00862069,0,0.051724138,0,0,0,0,0,0,0.228448276,0,0,0,0,0,0,0.021551724,0,0,0
11388F,0.089030279,0,0,0.030117754,0.002377717,0,0,0,0.290874094,0,0.007925725,0.000792572,0,0.00634058,0,0,0,0,0,0,0,0,0,0.004755435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000792572,0.000792572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44678442,0.127151268,0,0,0,0,0,0.008718297,0,0,0,0,0,0.000905797,0,0.026154891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045516304
11389F,0.067599692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119547658,0,0,0,0.006462036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003231018,0,0,0,0,0,0,0,0.001615509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.835218094,0,0,0,0,0,0,0.012924071,0,0,0,0,0,0,0.016155089,0,0,0.004846527
11390F,0.074530588,0.000713267,0,0,0.000713267,0,0,0,0,0.002853067,0,0,0,0.000713267,0,0,0.000713267,0,0,0,0,0,0,0,0,0,0,0.006419401,0,0,0,0.012125535,0,0,0,0,0,0,0.000713267,0,0,0.000713267,0,0,0,0.001426534,0,0,0,0,0,0,0,0.000713267,0,0,0.004279601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.869472183,0,0,0,0,0,0,0.088445078,0,0,0,0,0,0,0.009985735,0,0,0
11392F,0.123838661,0,0,0,0.006734007,0,0,0,0,0,0.006734007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003367003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006734007,0,0,0,0,0,0,0,0.006734007,0.003367003,0,0,0,0,0,0.003367003,0,0,0,0.006734007,0,0,0,0.595959596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36026936
11393F,0.136063237,0.058823529,0,0.00678733,0.099547511,0.009049774,0,0,0,0.018099548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013574661,0,0.00678733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009049774,0,0,0,0,0,0,0,0,0.033936652,0,0,0.00678733,0,0,0,0,0,0,0,0,0,0,0,0.400452489,0,0,0,0,0,0,0.036199095,0,0,0,0,0,0.033936652,0.033936652,0,0,0.233031674
11394F,0.236881126,0.002460025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002460025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051660517,0,0,0,0.001230012,0,0.017220172,0,0,0,0,0,0,0.028290283,0,0.041820418,0,0,0,0,0,0,0,0,0,0,0,0,0.002460025,0.436654367,0,0,0.415744157
11395F,0.089245458,0,0,0,0,0,0,0,0.005584859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002016755,0,0,0,0.00093081,0,0,0,0,0,0,0,0,0.008532423,0,0,0,0,0,0,0,0.006515669,0,0,0,0,0,0,0,0.052590754,0,0,0,0,0,0,0,0,0,0,0,0,0.005895129,0,0.914986038,0,0,0,0,0,0.00093081,0,0,0,0,0,0,0,0.002016755,0,0,0
11396F,0.109483258,0.127703985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006641366,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00227704,0,0,0.001897533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.859392789,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002087287,0,0,0
11405F,0.125808745,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0.064,0,0,0,0,0,0,0.032,0,0.744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024
11406F,0.115661321,0.05721393,0,0,0.007462687,0,0,0,0,0,0,0.007462687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009950249,0,0,0,0,0,0,0,0,0,0,0.007462687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.875621891,0,0,0,0.019900498,0,0,0.014925373,0,0,0,0,0,0,0,0,0,0
11407F,0.113707161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083333333,0,0,0.020833333,0,0.020833333,0,0,0,0,0.854166667,0,0,0,0.020833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11408F,0.066151144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11409F,0.6911,0.013311148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011647255,0,0,0,0.073211314,0,0,0,0,0,0,0,0,0,0.013311148,0,0,0,0.351081531,0,0,0,0,0,0.212978369,0,0,0,0,0,0,0.259567388,0,0.039933444,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013311148,0,0.011647255,0
11410F,0.221949298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0.275,0,0,0,0,0,0.45,0.025,0,0,0,0,0,0.15,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11411F,0.314667697,0,0,0,0,0,0,0,0,0,0.02173913,0,0,0,0,0,0,0,0,0,0,0,0,0.695652174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02173913,0,0,0,0,0,0,0,0.130434783,0,0,0,0,0,0.02173913,0,0,0,0,0,0,0.086956522,0,0.02173913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11412F,0.084160997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012195122,0.569105691,0,0,0,0,0,0,0.097560976,0,0,0,0,0,0,0.321138211,0,0,0
11425F,0.160797077,0,0.016393443,0.024590164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008196721,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008196721,0,0,0,0,0,0,0,0,0.008196721,0,0,0,0,0.262295082,0.401639344,0,0,0,0.008196721,0,0,0,0,0,0,0,0.049180328,0.081967213,0,0.008196721,0,0,0,0,0,0,0.098360656,0,0,0,0,0,0.008196721,0,0,0.016393443
11426F,0.100074698,0,0.006944444,0.006944444,0.020833333,0,0,0,0,0.013888889,0,0.006944444,0,0,0,0.013888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020833333,0,0,0,0.006944444,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0.430555556,0,0,0,0,0,0,0,0,0,0,0,0.048611111,0.0625,0.006944444,0,0,0.006944444,0.006944444,0,0,0,0,0,0,0,0,0,0.006944444,0,0,0.111111111
11427F,0.080670759,0,0.008403361,0,0.273109244,0,0,0,0,0.105042017,0.042016807,0,0,0,0,0,0,0.004201681,0,0,0,0,0,0,0,0,0,0,0.025210084,0,0.004201681,0.004201681,0,0,0,0.004201681,0,0,0,0,0.004201681,0,0.050420168,0,0.012605042,0,0,0,0,0,0,0.004201681,0,0,0,0,0.155462185,0.180672269,0,0,0,0,0,0,0,0,0,0,0,0.008403361,0.004201681,0.025210084,0,0.004201681,0,0.004201681,0,0,0,0.004201681,0,0,0,0,0,0.016806723,0,0,0.054621849
